num_threads;method;num_iterations;elapsed_time
13;static;10000;1.31009999995512771420
13;dynamic;10000;1.06550000009519862942
13;guided;10000;1.33230000028561335057
14;static;10000;1.86619999976755934767
14;dynamic;10000;1.14859999985128524713
14;guided;10000;1.06679999998959829099
15;static;10000;1.11250000009022187442
15;dynamic;10000;0.91259999999238061719
15;guided;10000;1.13079999982801382430
16;static;10000;1.27670000028956565075
16;dynamic;10000;1.06890000006387708709
16;guided;10000;1.01259999973990488797
1;single;1000000;322.16929999958665575832
2;static;1000000;156.47350000017468119040
2;dynamic;1000000;150.52590000004784087650
2;guided;1000000;154.55719999999928404577
3;static;1000000;117.58129999998345738277
3;dynamic;1000000;133.25600000007398193702
3;guided;1000000;119.22430000004169414751
4;static;1000000;95.46349999982339795679
4;dynamic;1000000;92.63989999999466817826
4;guided;1000000;97.85849999980200664140
5;static;1000000;80.70910000014919205569
5;dynamic;1000000;79.35210000005099573173
5;guided;1000000;85.15729999999166466296
6;static;1000000;76.45610000008673523553
6;dynamic;1000000;68.29400000015084515326
6;guided;1000000;73.45430000032138195820
7;static;1000000;66.52889999986655311659
7;dynamic;1000000;63.05590000010852236301
7;guided;1000000;63.40829999999186838977
8;static;1000000;62.17160000005605979823
8;dynamic;1000000;57.98480000021299929358
8;guided;1000000;60.02379999972617952153
9;static;1000000;62.50060000002122251317
9;dynamic;1000000;57.84279999988939380273
9;guided;1000000;58.37920000021767918952
10;static;1000000;66.71319999986735638231
10;dynamic;1000000;54.65969999977460247464
10;guided;1000000;62.62049999986629700288
11;static;1000000;72.65629999983502784744
11;dynamic;1000000;61.52199999996810220182
11;guided;1000000;64.97969999963970622048
12;static;1000000;69.29609999997410341166
12;dynamic;1000000;62.55190000001675798558
12;guided;1000000;73.68270000006305053830
13;static;1000000;71.52210000003833556548
13;dynamic;1000000;61.69619999991482472979
13;guided;1000000;60.74109999963184236549
14;static;1000000;60.64100000003236345947
14;dynamic;1000000;54.88460000015038531274
14;guided;1000000;58.98090000027877977118
15;static;1000000;57.70840000013777171262
15;dynamic;1000000;59.33379999987664632499
15;guided;1000000;55.89370000006965710782
16;static;1000000;67.49579999996058177203
16;dynamic;1000000;55.46679999997650156729
16;guided;1000000;57.40049999985785689205
1;single;100;0.03229999992981902324
2;static;100;0.29379999978118576109
2;dynamic;100;0.02119999999194988050
2;guided;100;0.01849999989644857123
3;static;100;0.06510000002890592441
3;dynamic;100;0.01370000018141581677
3;guided;100;0.01300000030823866837
4;static;100;0.05299999975250102580
4;dynamic;100;0.01120000024457112886
4;guided;100;0.01089999977921252139
5;static;100;0.05730000020776060410
5;dynamic;100;0.01120000024457112886
5;guided;100;0.00960000033956021070
6;static;100;0.05229999987932387739
6;dynamic;100;0.00969999973676749505
6;guided;100;0.00849999969432246871
7;static;100;0.06329999996523838490
7;dynamic;100;0.00920000002224696800
7;guided;100;0.00799999997980194166
8;static;100;0.05889999965802417137
8;dynamic;100;0.00880000015968107618
8;guided;100;0.00769999996919068508
9;static;100;0.10440000005473848432
9;dynamic;100;0.30400000014196848497
9;guided;100;0.30349999997270060703
